,Reviewer,Stars,Age,Content
0,Alan Ng, 5 stars ,a week ago,Great place to have your IPPT Training. Instructors are professional.
1,National Mix Videos, 5 stars ,a year ago,Don’t know what to proof by doing IPPT
2,Aiz TrippleAce, 5 stars ,a year ago,Did my IPPT here. Good facilities.
3,Timothy Tan, 3 stars ,6 months ago,Note that entrance is now @ KCIII
4,Thamaraikanny S Retnam, 1 star ,3 months ago,Inconveniet
5,Douglas Ong, 5 stars ,2 months ago,Got my silver
6,Catversation, 5 stars ,a year ago,"Tmr IPPT, Pls give me at least silver."
7,MUHAMMAD Mutakabir, 5 stars ,a year ago,2.4km is indoor.  No matter what please train for your ippt.
8,BAYA J AMR, 5 stars ,a year ago,Train to be fits
9,Kashem Abul, 5 stars ,2 years ago,very  good
10,Lin Yu Cheng, 5 stars ,a year ago,"(Translated by Google) RTRT !!!

(Original)
RTRT !!!"
11,Veronica Ann Nunis, 5 stars ,3 months ago,
12,Genhao Yu, 5 stars ,3 weeks ago,
13,Gerald wei hwa, 4 stars ,a week ago,
14,Justin Leong, 5 stars ,a year ago,
15,Yong Xin, 4 stars ,3 months ago,
16,Mohamad Shadiq, 5 stars ,a year ago,
17,Ming Wei Lim, 4 stars ,a year ago,
18,Nagarajan Ratha, 5 stars ,3 months ago,
19,KEERTISH SIVAKUMAR, 5 stars ,a year ago,
20,harishankar kandhavelu, 5 stars ,3 months ago,
21,Miie Hatashi, 3 stars ,a year ago,
22,Edmund Tay, 4 stars ,a year ago,
23,qunxiang tan, 4 stars ,a year ago,
24,Sarjeev Rajagubal, 4 stars ,a year ago,
25,Prem Kumar, 4 stars ,a month ago,
26,Derick Ng, 5 stars ,2 months ago,
